UniqueIndexID_ItaCoLA	Sentence	ExpertAcceptability	PlayersAcceptability	NumAnnotations	DisaggragatedAnnotations	PlayersID
8897	È arrivato tuo padre?	1	1	4	1,1,1,1	vj6buGww,HQ8yy7gw,OeynLncz,C62PYy1K
4042	Alice smette del pasto.	0	0	2	0,0	vj6buGww,HQ8yy7gw
824	Ho aspettato alcune ore.	1	1	2	1,1	vj6buGww,HQ8yy7gw
1139	Edoardo sta arrivando.	1	1	2	1,1	vj6buGww,HQ8yy7gw
7253	Gabriele a trarre le cuoia.	0	0	2	0,0	vj6buGww,HQ8yy7gw
32	Riccardo legge.	1	1	2	1,1	vj6buGww,HQ8yy7gw
9081	Alice trasale verso la cucina.	0	0	4	0,0,0,0	vj6buGww,HQ8yy7gw,OeynLncz,C62PYy1K
97	Ho incontrato lei, non lui.	1	1	2	1,1	vj6buGww,HQ8yy7gw
388	Che cosa ha dato a Lorenzo, Tommaso?	1	0	3	1,0,0	vj6buGww,WsIxGOD?,HQ8yy7gw
1972	La luce è rimasta saltata.	0	0	3	0,0,0	vj6buGww,WsIxGOD?,HQ8yy7gw
3993	Giulia parla che partirà con Paola.	0	0	4	0,1,0,0	vj6buGww,GkYyKime,WsIxGOD?,HQ8yy7gw
3969	Riccardo ne la esenta.	0	0	3	0,0,0	GkYyKime,FclsoYiw,nWOrC?wr
7890	Scusa!	1	1	4	1,1,1,1	GkYyKime,GkYyKime,989jwIzU,CtecEp6w
5944	Emma è in spavento.	0	0	4	0,0,0,1	GkYyKime,pS8ktAgS,989jwIzU,CtecEp6w
1015	Purtroppo oggi piove.	1	1	4	1,1,1,1	GkYyKime,HQ8yy7gw,xr0!?w5q,!GXFVVUQ
8753	Lorenzo ha incontrato la settimana scorsa.	0	0	4	0,0,0,0	GkYyKime,989jwIzU,Rfsfks4I,GkYyKime
5504	La lezione è finita per ore.	0	0	3	0,0,0	GkYyKime,989jwIzU,GkYyKime
3206	Francesco colma attenzioni nel padre.	0	0	3	0,0,0	GkYyKime,989jwIzU,i5VZ9EBr
965	La mia macchina è per mio fratello.	1	1	3	0,1,1	GkYyKime,Rfsfks4I,y1VxC7mB
1703	Saltare la corrente.	0	0	3	0,0,0	GkYyKime,joqYXLG1,AWVSmErk
8910	Il postino parte alle otto.	1	1	4	1,1,1,1	GkYyKime,X1XDhPwh,wgWvRcwc,kKyAP7X8
8909	Gli animali sono oggi al centro di un dibattito concernente i loro diritti.	1	0	3	0,1,0	GkYyKime,wgWvRcwc,kKyAP7X8
756	Io ho visto.	1	1	2	1,1	GkYyKime,ggipwdNm
1042	Edoardo ha un cane.	1	1	3	1,1,1	GkYyKime,WsIxGOD?,7EoU8Bhg
8321	Sofia ha tagliato la testa al bisonte.	0	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
1211	Il tuo gatto ha mangiato la salsiccia.	1	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
