UniqueIndexID	Source	Acceptability	Sentence	Cleft_construction	Copular_construction	Subject-verb_agreement	Wh-islands_violations	Simple	Question	Auxiliary	Bind	Indefinite_pronouns
1	Graffi_1994	1	Quest'uomo mi ha colpito.	0	0	1	0	0	0	1	0	0
2	Graffi_1994	0	Questa donna mi hanno colpito.	0	0	1	0	0	0	1	0	0
3	Graffi_1994	1	Questa donna mi ha colpito.	0	0	0	0	1	0	1	0	0
4	Graffi_1994	0	Quella donna che accompagnava i bambini mi hanno colpito.	0	0	1	0	0	0	1	0	0
5	Graffi_1994	1	Quella donna che accompagnava i bambini mi ha colpito.	0	0	1	0	0	0	1	0	0
6	Graffi_1994	1	La donna che mi ha colpito è Giulia.	0	0	1	0	0	0	1	0	0
7	Graffi-Scalise_2002	1	La donna che i ragazzi dicono che mi ha colpito è Giulia.	0	0	1	0	0	0	1	0	0
8	Graffi_1994	1	La donna che i vicini credono che i ragazzi dicano che mi ha colpito è Sofia.	0	0	1	0	0	0	1	0	0
9	Graffi_1994	1	La donna che i Rossi sostengono che i vicini credono che i ragazzi dicano che mi ha colpito è Paola.	0	0	0	0	0	0	1	0	0
10	Graffi_1994	0	La donna che i Rossi sostengono che i vicini credono che i ragazzi dicano che mi hanno colpito è Giulia.	0	0	0	0	0	0	1	0	0
11	Graffi_1994	0	Quell'uomo e quella donna mi ha colpito.	0	0	1	0	0	0	1	0	0
12	Graffi_1994	1	Quest'uomo ha colpito me.	0	0	1	0	0	0	1	0	0
13	Graffi_1994	1	Io sono stato colpito da quest'uomo.	0	0	1	0	0	0	1	0	0
14	Graffi_1994	1	Chi mi ha colpito?	0	0	0	1	0	1	0	0	0
15	Graffi_1994	1	Chi dici che mi ha colpito?	0	0	0	1	0	1	0	0	0
16	Graffi_1994	1	Chi dici che Leonardo sostiene che mi ha colpito?	0	0	0	0	0	1	1	0	0
17	Graffi_1994	1	Chi dici che Tommaso sostiene che i vicini pensano che mi abbia colpito?	0	0	0	0	0	1	1	0	0
18	Graffi_1994	0	Il mio per preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
19	Graffi_1994	0	Il mio oggi preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
20	Graffi_1994	0	Il mio e preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
21	Graffi_1994	0	Il mio leggo preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
22	Graffi_1994	0	Il mio esso preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
23	Graffi_1994	0	Il mio alto preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
24	Graffi_1994	1	Il mio libro preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
25	Graffi_1994	1	Il mio poema preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
26	Graffi_1994	0	Il mio lettura preferito è la Divina Commedia.	0	0	0	0	0	0	1	0	0
27	Graffi_1994	1	La mia lettura preferita era la Divina Commedia.	0	0	0	0	1	0	1	0	0
28	Graffi_1994	1	La mia lettura preferita è stata la Divina Commedia.	0	0	1	0	0	0	1	0	0
29	Graffi_1994	1	Il sindaco parlerà dopo.	0	0	0	0	1	0	0	0	0
31	Graffi_1994	1	Lorenzo lo ha portato dentro.	0	0	1	0	0	0	0	0	0
32	Graffi_1994	1	Riccardo legge.	0	0	0	0	1	0	0	0	0
33	Graffi_1994	1	Tommaso legge il giornale.	0	0	0	0	1	0	0	0	0
35	Graffi_1994	1	Lorenzo mangia un gelato.	0	0	0	0	1	0	0	0	0
37	Graffi_1994	1	Gabriele scrive una lettera.	0	0	0	0	1	0	0	0	0
38	Graffi_1994	1	Gabriele ha detto la verità.	0	0	0	0	1	0	0	0	0
42	Graffi_1994	1	Lorenzo teme la guerra.	0	0	0	0	1	0	0	0	0
44	Graffi_1994	1	Tommaso beve un bicchiere di vino.	0	0	0	0	1	0	0	0	0
46	Graffi_1994	0	La guerra teme Francesco.	0	0	0	0	1	0	0	0	0
47	Graffi_1994	1	Il giudice ha interrogato il testimone.	0	0	0	0	1	0	0	0	0
48	Graffi_1994	0	Il giudice ha interrogato il gatto.	0	0	0	0	1	0	0	0	0
49	Graffi_1994	1	Il giudice ha domandato al testimone chi era entrato in casa.	0	0	1	0	0	0	1	0	0
50	Graffi_1994	0	Il giudice ha domandato al gatto chi era entrato in casa.	0	0	1	0	0	0	1	0	0
51	Graffi_1994	1	Il giudice ha interrogato il testimone ieri sera.	0	0	1	0	0	0	1	0	0
52	Graffi_1994	1	Il testimone ha interrogato il giudice ieri sera.	0	0	1	0	0	0	1	0	0
53	Graffi_1994	1	Ieri sera il giudice ha interrogato il testimone.	0	0	1	0	0	0	0	0	0
54	Graffi_1994	1	Lorenzo ha subito molte torture.	0	0	1	0	0	0	0	0	0
55	Graffi_1994	1	Sono arrivati molti ragazzi.	0	0	1	0	1	0	0	0	1
56	Graffi_1994	1	Hanno telefonato molti ragazzi.	0	0	1	0	0	0	0	0	0
