UniqueIndexID	Source	Acceptability	Sentence	Split
1	Graffi_1994	1	Quest'uomo mi ha colpito.	train
2	Graffi_1994	0	Questa donna mi hanno colpito.	train
3	Graffi_1994	1	Questa donna mi ha colpito.	train
4	Graffi_1994	0	Quella donna che accompagnava i bambini mi hanno colpito.	train
5	Graffi_1994	1	Quella donna che accompagnava i bambini mi ha colpito.	train
6	Graffi_1994	1	La donna che mi ha colpito è Giulia.	train
7	Graffi_1994	1	La donna che i ragazzi dicono che mi ha colpito è Giulia.	train
8	Graffi_1994	1	La donna che i vicini credono che i ragazzi dicano che mi ha colpito è Sofia.	train
9	Graffi_1994	1	La donna che i Rossi sostengono che i vicini credono che i ragazzi dicano che mi ha colpito è Paola.	train
10	Graffi_1994	0	La donna che i Rossi sostengono che i vicini credono che i ragazzi dicano che mi hanno colpito è Giulia.	train
11	Graffi_1994	0	Quell'uomo e quella donna mi ha colpito.	train
12	Graffi_1994	1	Quest'uomo ha colpito me.	train
13	Graffi_1994	1	Io sono stato colpito da quest'uomo.	train
14	Graffi_1994	1	Chi mi ha colpito?	train
15	Graffi_1994	1	Chi dici che mi ha colpito?	train
16	Graffi_1994	1	Chi dici che Leonardo sostiene che mi ha colpito?	train
17	Graffi_1994	1	Chi dici che Tommaso sostiene che i vicini pensano che mi abbia colpito?	train
18	Graffi_1994	0	Il mio per preferito è la Divina Commedia.	train
19	Graffi_1994	0	Il mio oggi preferito è la Divina Commedia.	train
20	Graffi_1994	0	Il mio e preferito è la Divina Commedia.	train
21	Graffi_1994	0	Il mio leggo preferito è la Divina Commedia.	train
22	Graffi_1994	0	Il mio esso preferito è la Divina Commedia.	train
23	Graffi_1994	0	Il mio alto preferito è la Divina Commedia.	train
24	Graffi_1994	1	Il mio libro preferito è la Divina Commedia.	train
25	Graffi_1994	1	Il mio poema preferito è la Divina Commedia.	train
26	Graffi_1994	0	Il mio lettura preferito è la Divina Commedia.	train
27	Graffi_1994	1	La mia lettura preferita era la Divina Commedia.	train
28	Graffi_1994	1	La mia lettura preferita è stata la Divina Commedia.	train
29	Graffi_1994	1	Il sindaco parlerà dopo.	train
30	Graffi_1994	1	Il sindaco parlerà dopo l'assessore al bilancio.	train
31	Graffi_1994	1	Lorenzo lo ha portato dentro.	train
32	Graffi_1994	1	Riccardo legge.	train
33	Graffi_1994	1	Tommaso legge il giornale.	train
34	Graffi_1994	1	Alessandro mangia.	train
35	Graffi_1994	1	Lorenzo mangia un gelato.	train
36	Graffi_1994	1	Mattia scrive.	train
37	Graffi_1994	1	Gabriele scrive una lettera.	train
38	Graffi_1994	1	Gabriele ha detto la verità.	train
39	Graffi_1994	1	Dopo il suo discorso, il presidente ebbe una crisi cardiaca.	train
40	Graffi_1994	1	Dopo che ebbe parlato, il presidente ebbe una crisi cardiaca.	train
41	Graffi_1994	0	Francesco sta sapendo la risposta.	train
42	Graffi_1994	1	Lorenzo teme la guerra.	train
43	Graffi_1994	0	Francesco teme.	train
44	Graffi_1994	1	Tommaso beve un bicchiere di vino.	train
45	Graffi_1994	1	Tommaso beve.	train
46	Graffi_1994	0	La guerra teme Francesco.	train
47	Graffi_1994	1	Il giudice ha interrogato il testimone.	train
48	Graffi_1994	0	Il giudice ha interrogato il gatto.	train
49	Graffi_1994	1	Il giudice ha domandato al testimone chi era entrato in casa.	train
50	Graffi_1994	0	Il giudice ha domandato al gatto chi era entrato in casa.	train
51	Graffi_1994	1	Il giudice ha interrogato il testimone ieri sera.	train
52	Graffi_1994	1	Il testimone ha interrogato il giudice ieri sera.	train
53	Graffi_1994	1	Ieri sera il giudice ha interrogato il testimone.	train
54	Graffi_1994	1	Lorenzo ha subito molte torture.	train
55	Graffi_1994	1	Sono arrivati molti ragazzi.	train
56	Graffi_1994	1	Hanno telefonato molti ragazzi.	train
57	Graffi_1994	1	Ne sono arrivati molti.	train
58	Graffi_1994	0	Ne hanno telefonato molti.	train
59	Graffi_1994	1	Ne è ricomparso il padre.	train
60	Graffi_1994	0	Ne ha telefonato il padre.	train
61	Graffi_1994	1	Uno studente partito poco fa.	train
62	Graffi_1994	0	Uno studente parlato poco fa.	train
63	Graffi_1994	1	Partito Lorenzo, ci siamo dati alla pazza gioia.	train
64	Graffi_1994	0	Parlato Andrea, ci siamo dati alla pazza gioia.	train
65	Graffi_1994	0	Alessandro è un grande partitore.	train
66	Graffi_1994	1	Francesco è un grande oratore.	train
67	Graffi_1994	1	I negozianti hanno aumentato i prezzi.	train
68	Graffi_1994	1	Le sue opinioni sono cambiate.	train
69	Graffi_1994	1	Quel filosofo ha cambiato le sue opinioni.	train
70	Graffi_1994	1	Edoardo ne ha salvati molti.	train
71	Graffi_1994	1	Un ragazzo partito poco fa.	train
72	Graffi_1994	1	Un ragazzo salvato poco fa.	train
73	Graffi_1994	1	Il palazzo è crollato.	train
74	Graffi_1994	1	La partenza è prevista per le ore otto.	train
75	Graffi_1994	1	La costruzione della basilica durerà alcuni decenni.	train
76	Graffi_1994	1	Francesco cammina.	train
77	Graffi_1994	1	Alessandro parte.	train
78	Graffi_1994	1	Manzoni ha descritto la peste di Milano.	train
79	Graffi_1994	1	Quel dono era di grande valore.	train
80	Graffi_1994	1	Hanno dato il premio a me.	train
81	Graffi_1994	1	Riccardo ha danneggiato se stesso.	train
82	Graffi_1994	1	Quegli uomini si sono denunciati.	train
83	Graffi_1994	1	Preferiscono Tommaso.	train
84	Graffi_1994	0	Preferiscono lo.	train
85	Graffi_1994	1	Hanno dato il premio a lui.	train
86	Graffi_1994	1	Hanno dato il premio a Gabriele.	train
87	Graffi_1994	0	Hanno dato il premio gli.	train
88	Graffi_1994	0	Gli subito do il libro.	train
89	Graffi_1994	1	Do subito a lui il libro.	train
90	Graffi_1994	1	Glielo do subito.	train
91	Graffi_1994	0	Lo gli do subito.	train
92	Graffi_1994	1	Do subito il libro a lui.	train
93	Graffi_1994	1	Ho incontrato lui e lei.	train
94	Graffi_1994	1	Ho incontrato Lorenzo e Paola.	train
95	Graffi_1994	0	Lo compro e leggo.	train
96	Graffi_1994	1	Lo compro e lo leggo.	train
97	Graffi_1994	1	Ho incontrato lei, non lui.	train
98	Graffi_1994	1	Lo incontro tutti i giorni.	train
99	Graffi_1994	1	L'ho incontrato ieri.	train
100	Graffi_1994	1	Desidero incontrarlo.	train
101	Graffi_1994	1	Avendolo incontrato.	train
102	Graffi_1994	1	Incontratolo.	train
103	Graffi_1994	1	Guardalo!	train
104	Graffi_1994	1	Non lo guardare.	train
105	Graffi_1994	1	Sono andato più volte a Firenze.	train
106	Graffi_1994	1	Ci sono andato più volte.	train
107	Graffi_1994	1	Ne ho scoperto solo ieri il colpevole.	train
108	Graffi_1994	1	Sono stato molto colpito da quella reazione.	train
109	Graffi_1994	1	Ne sono stato molto colpito.	train
110	Graffi_1994	1	Ne ho incontrati molti.	train
111	Graffi_1994	0	Ci più volte sono andato.	train
112	Graffi_1994	0	Ne solo ieri ho scoperto il colpevole.	train
113	Graffi_1994	1	Ci sono più volte andato.	train
114	Graffi_1994	1	Ne ho solo ieri scoperto il colpevole.	train
